full_name,selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
Mahindra Xylo H9,3.75,2010.0,Dealer,56823,Diesel,Manual,14.02,2179.0,118.3,8.0
Honda City i VTEC VX,7.5,2015.0,Individual,50000,Petrol,Manual,17.4,1497.0,117.3,5.0
Mahindra Bolero SLE BSIII,3.5,2011.0,Individual,25000,Diesel,Manual,13.6,2523.0,63.0,7.0
Maruti Swift Dzire VDI,6.0,2015.0,Individual,90000,Diesel,Manual,26.59,1248.0,74.0,5.0
Maruti Swift Dzire LDI,3.9,2013.0,Dealer,45000,Diesel,Manual,26.59,1248.0,74.0,5.0
Honda City 2017-2020 GXi,1.45,2007.0,Dealer,77253,Petrol,Manual,17.7,1497.0,78.0,5.0
Hyundai i20 Active 1.2 SX,7.0,2018.0,Individual,25000,Petrol,Manual,17.19,1197.0,81.86,5.0
Toyota Fortuner 4x2 Manual,11.5,2013.0,Individual,110000,Diesel,Manual,13.0,2982.0,168.5,7.0
Renault KWID Climber 1.0 MT,3.4,2017.0,Individual,30000,Petrol,Manual,23.01,999.0,67.0,5.0
Honda Amaze S Petrol,4.65,2016.0,Dealer,39993,Petrol,Manual,18.6,1199.0,88.76,5.0
Hyundai Santro Xing GLS,1.25,2009.0,Individual,80000,Petrol,Manual,17.92,1086.0,62.1,5.0
Mahindra XUV500 W8 2WD,6.0,2012.0,Individual,185000,Diesel,Manual,15.1,2179.0,140.0,7.0
Maruti Swift Dzire VDI,3.8,2013.0,Individual,90000,Diesel,Manual,23.4,1248.0,74.0,5.0
Mahindra Xylo E8,4.0,2009.0,Individual,60000,Diesel,Manual,14.0,2498.0,112.0,8.0
Chevrolet Sail 1.3 Base,3.0,2014.0,Individual,90000,Diesel,Manual,22.1,1248.0,74.0,5.0
Hyundai Xcent 1.2 Kappa SX,5.0,2015.0,Individual,20000,Petrol,Manual,19.1,1197.0,82.0,5.0
Hyundai i20 1.4 Asta Option,8.5,2018.0,Individual,15000,Diesel,Manual,22.54,1396.0,88.73,5.0
Hyundai i20 1.2 Magna Executive,5.98,2018.0,Individual,40000,Petrol,Manual,18.6,1197.0,81.83,5.0
Honda City i VTEC CVT SV,7.0,2015.0,Dealer,31180,Petrol,Automatic,18.0,1497.0,117.3,5.0
Mahindra TUV 300 mHAWK100 T8 AMT,9.0,2018.0,Individual,40000,Diesel,Automatic,18.49,1493.0,100.0,7.0
Maruti 800 Std,0.75,2004.0,Individual,50000,Petrol,Manual,16.1,796.0,37.0,4.0
Tata Indigo LS TDI BSIII,3.0,2015.0,Individual,58000,Diesel,Manual,19.09,1396.0,69.0,5.0
Maruti Swift Dzire ZDI,4.1,2014.0,Dealer,56000,Diesel,Manual,23.4,1248.0,74.0,5.0
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3.0,2011.0,Individual,93000,Diesel,Manual,20.5,1248.0,91.7,5.0
Ambassador Avigo 1800 ISZ MPFI AC,2.25,2010.0,Dealer,86000,Petrol,Manual,12.2,1817.0,75.0,5.0
Maruti Swift VDI BSIV,3.0,2011.0,Individual,120000,Diesel,Manual,17.8,1248.0,5.0,5.0
Maruti Baleno Zeta Automatic,5.9,2016.0,Dealer,52427,Petrol,Automatic,21.4,1197.0,83.1,5.0
Mahindra Bolero B6,8.5,2020.0,Individual,40000,Diesel,Manual,21.0,1498.0,74.96,7.0
Tata Nano Cx BSIV,1.08,2011.0,Individual,70000,Petrol,Manual,26.0,624.0,35.0,4.0
Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,2018.0,Individual,17000,Petrol,Manual,18.15,1198.0,82.0,5.0
Toyota Etios G,3.25,2012.0,Dealer,54325,Petrol,Manual,17.6,1496.0,88.73,5.0
Maruti Baleno Vxi - BSIII,6.25,2016.0,Dealer,22000,Petrol,Manual,15.4,1590.0,94.0,5.0
Maruti Swift Dzire ZXI,6.0,2016.0,Individual,54000,Petrol,Manual,20.85,1197.0,83.14,5.0
Maruti Wagon R LXI Optional,4.45,2019.0,Individual,10000,Petrol,Manual,20.51,998.0,67.04,5.0
Maruti Ignis 1.2 Delta BSIV,5.3,2019.0,Individual,20000,Petrol,Manual,20.89,1197.0,81.8,5.0
Toyota Corolla Altis GL,3.85,2011.0,Dealer,61000,Petrol,Manual,14.53,1798.0,138.1,5.0
Maruti Wagon R LXI CNG,4.1,2018.0,Trustmark Dealer,53237,CNG,Manual,26.6,998.0,58.16,5.0
Datsun RediGO Gold 1.0,3.5,2018.0,Individual,27263,Petrol,Manual,22.5,999.0,68.0,5.0
Tata Indigo eLX BS IV,2.65,2014.0,Individual,90000,Diesel,Manual,25.0,1396.0,69.01,5.0
Hyundai Verna 1.6 CRDI,5.2,2014.0,Individual,110000,Diesel,Manual,22.32,1582.0,126.3,5.0
Hyundai i20 Asta Option 1.4 CRDi,7.5,2016.0,Individual,70000,Diesel,Manual,22.54,1396.0,88.73,5.0
Maruti Swift Dzire VDI,5.6,2017.0,Individual,70000,Diesel,Manual,26.59,1248.0,74.0,5.0
Tata Vista TDI LS,2.0,2014.0,Individual,190000,Diesel,Manual,19.1,1405.0,70.0,5.0
Hyundai Xcent 1.2 CRDi SX,6.0,2017.0,Individual,40000,Diesel,Manual,25.4,1186.0,73.97,5.0
Hyundai i20 1.2 Spotz,6.55,2019.0,Dealer,39000,Petrol,Manual,18.6,1197.0,81.83,5.0
Hyundai Santro Xing XE,1.25,2007.0,Dealer,56000,Petrol,Manual,17.8,1086.0,63.0,5.0
Toyota Corolla Altis 1.8 VL AT,4.25,2009.0,Dealer,58000,Petrol,Automatic,14.53,1794.0,138.1,5.0
Maruti Omni E MPI STD BS IV,2.2,2017.0,Individual,40000,Petrol,Manual,16.8,796.0,34.2,8.0
Hyundai i20 1.2 Spotz,5.5,2018.0,Individual,34000,Petrol,Manual,18.6,1197.0,81.83,5.0
Mahindra Scorpio 1.99 S10,11.5,2017.0,Individual,50000,Diesel,Manual,15.4,1997.0,120.0,7.0
Volkswagen Vento Diesel Highline,5.0,2012.0,Individual,77400,Diesel,Manual,20.54,1598.0,103.6,5.0
Mahindra Marazzo M2 BSIV,9.9,2019.0,Individual,36000,Diesel,Manual,17.3,1497.0,121.0,7.0
Hyundai Verna SX Opt Diesel,5.51,2013.0,Dealer,47876,Diesel,Manual,25.0,1493.0,113.42,5.0
Mahindra XUV500 W11 Option AT BSIV,16.5,2018.0,Individual,21500,Diesel,Automatic,15.1,2179.0,152.87,7.0
Hyundai Grand i10 CRDi Magna,3.5,2015.0,Dealer,75000,Diesel,Manual,24.0,1120.0,70.0,5.0
Ford Aspire 1.2 Ti-VCT Titanium,5.0,2017.0,Dealer,58000,Petrol,Manual,18.16,1196.0,86.8,5.0
Maruti Swift Dzire VXI 1.2,5.75,2018.0,Individual,30000,Petrol,Manual,21.21,1197.0,81.8,5.0
Hyundai Grand i10 1.2 CRDi Asta,5.45,2018.0,Individual,50000,Diesel,Manual,24.0,1186.0,73.97,5.0
Ford Figo 1.2P Titanium MT,5.25,2017.0,Trustmark Dealer,19093,Petrol,Manual,18.16,1196.0,86.8,5.0
Honda Amaze E i-Vtech,4.0,2014.0,Individual,50000,Petrol,Manual,18.0,1198.0,86.7,5.0
Maruti Wagon R LXI BSIII,1.55,2006.0,Dealer,37000,Petrol,Manual,14.0,1061.0,64.0,5.0
Mahindra Supro VX 8 Str,5.4,2019.0,Individual,3888,Diesel,Manual,23.5,909.0,45.0,8.0
Maruti Swift Dzire VDI,5.45,2016.0,Dealer,47000,Diesel,Manual,26.59,1248.0,74.0,5.0
Honda City V MT,5.45,2013.0,Individual,70000,Petrol,Manual,16.8,1497.0,116.3,5.0
Renault KWID RXL,2.4,2016.0,Individual,25000,Petrol,Manual,25.17,799.0,53.3,5.0
Maruti Vitara Brezza LDi Option,7.25,2018.0,Dealer,26000,Diesel,Manual,24.3,1248.0,88.5,5.0
Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,2017.0,Individual,30000,Petrol,Manual,18.16,1196.0,86.8,5.0
Hyundai i20 Magna Optional 1.2,3.75,2013.0,Individual,15000,Petrol,Manual,18.5,1197.0,82.9,5.0
Maruti Swift VDi BSIII W/ ABS,2.25,2011.0,Individual,160000,Diesel,Manual,17.8,1248.0,75.0,5.0
Tata Tiago 1.2 Revotron XZ,4.0,2017.0,Individual,32100,Petrol,Manual,23.84,1199.0,84.0,5.0
Hyundai i20 Magna Optional 1.2,5.5,2016.0,Dealer,22000,Petrol,Manual,18.5,1197.0,82.9,5.0
Mahindra Scorpio S10 7 Seater,10.5,2016.0,Dealer,44000,Diesel,Manual,15.4,2179.0,120.0,7.0
Volkswagen Polo 1.2 MPI Trendline,4.5,2016.0,Dealer,78000,Petrol,Manual,18.78,1198.0,74.0,5.0
Mercedes-Benz C-Class C 200 CGI Elegance,7.75,2012.0,Dealer,74352,Petrol,Automatic,11.74,1796.0,186.0,5.0
Maruti Wagon R VXI,3.5,2014.0,Individual,37000,Petrol,Manual,20.51,998.0,67.04,5.0
Honda City i DTEC VX Option,5.5,2014.0,Dealer,69000,Diesel,Manual,25.1,1498.0,98.6,5.0
Kia Seltos HTK Plus G,10.8,2019.0,Individual,12120,Petrol,Manual,16.8,1497.0,113.4,5.0
Maruti Baleno Delta,5.75,2016.0,Dealer,52000,Petrol,Manual,21.01,1197.0,81.8,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,2016.0,Individual,120000,Diesel,Manual,12.99,2494.0,100.6,8.0
Maruti Alto 800 LXI,2.3,2013.0,Individual,55000,Petrol,Manual,22.74,796.0,47.3,5.0
Hyundai i20 1.4 CRDi Magna,2.7,2011.0,Individual,160000,Diesel,Manual,21.9,1396.0,90.0,5.0
Chevrolet Beat Diesel LS,1.65,2012.0,Dealer,42000,Diesel,Manual,25.44,936.0,56.3,5.0
Ford Figo Petrol EXI,1.3,2011.0,Individual,40000,Petrol,Manual,15.6,1196.0,70.0,5.0
Maruti Swift Dzire VXI,3.7,2012.0,Dealer,46000,Petrol,Manual,19.1,1197.0,85.8,5.0
Maruti Baleno Delta 1.2,5.7,2017.0,Dealer,25000,Petrol,Manual,21.4,1197.0,83.1,5.0
Toyota Etios GD,3.9,2015.0,Individual,240000,Diesel,Manual,23.59,1364.0,67.05,5.0
Volkswagen Polo Diesel Comfortline 1.2L,3.65,2013.0,Dealer,90000,Diesel,Manual,22.07,1199.0,73.9,5.0
Hyundai i20 Magna,2.8,2012.0,Dealer,49566,Petrol,Manual,18.5,1197.0,82.85,5.0
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2018.0,Dealer,14000,Diesel,Automatic,22.0,1582.0,126.2,5.0
Hyundai i20 2015-2017 Sportz 1.2,5.9,2016.0,Dealer,11000,Petrol,Manual,18.6,1197.0,81.83,5.0
Maruti Celerio VXI AMT BSIV,4.75,2018.0,Individual,5000,Petrol,Automatic,23.1,998.0,67.04,5.0
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,2017.0,Dealer,55000,Diesel,Manual,23.0,1498.0,98.96,5.0
Hyundai Verna SX CRDi AT,3.8,2012.0,Dealer,65000,Diesel,Automatic,19.08,1582.0,126.32,5.0
Renault KWID 1.0 RXT Optional,3.3,2018.0,Individual,22000,Petrol,Manual,23.01,999.0,67.0,5.0
Maruti Baleno Delta,6.5,2018.0,Trustmark Dealer,7671,Petrol,Manual,21.01,1197.0,81.8,5.0
Maruti Wagon R LXI,3.25,2016.0,Individual,66000,Petrol,Manual,20.51,998.0,67.04,5.0
Maruti Swift Dzire AMT VXI,6.4,2018.0,Dealer,45156,Petrol,Automatic,21.21,1197.0,81.8,5.0
Hyundai Venue SX Opt Turbo BSIV,9.49,2019.0,Individual,25000,Petrol,Manual,18.27,998.0,118.35,5.0
Nissan Terrano XL Plus 85 PS,7.5,2015.0,Individual,70000,Diesel,Manual,20.45,1461.0,83.8,5.0
Hyundai Verna 1.6 CRDi SX,6.6,2015.0,Individual,120000,Diesel,Manual,23.9,1582.0,126.2,5.0
Maruti Swift VXi BSIV,4.35,2014.0,Dealer,28000,Petrol,Manual,16.1,1197.0,85.0,5.0
Hyundai i20 Sportz 1.4 CRDi,3.85,2013.0,Dealer,55000,Diesel,Manual,21.9,1396.0,88.76,5.0
Hyundai Santa Fe 4X2,10.0,2011.0,Individual,104000,Diesel,Manual,14.66,2199.0,194.3,7.0
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2019.0,Dealer,14000,Diesel,Automatic,22.0,1582.0,126.2,5.0
Hyundai Xcent 1.2 VTVT SX,5.5,2017.0,Individual,18000,Petrol,Manual,20.14,1197.0,81.86,5.0
Maruti Wagon R LX BS IV,1.55,2009.0,Dealer,98780,Petrol,Manual,18.9,998.0,67.1,5.0
Maruti Swift VDI BSIV,4.15,2015.0,Dealer,58000,Diesel,Manual,25.2,1248.0,74.0,5.0
Maruti Alto K10 2010-2014 VXI,2.51,2011.0,Individual,30000,Petrol,Manual,20.92,998.0,67.1,5.0
Mahindra Scorpio S10 7 Seater,11.5,2016.0,Dealer,46400,Diesel,Manual,15.4,2179.0,120.0,7.0
Hyundai i10 Magna 1.1L,3.1,2014.0,Trustmark Dealer,32111,Petrol,Manual,19.81,1086.0,68.05,5.0
Datsun GO Plus T BSIV,3.5,2015.0,Individual,35000,Petrol,Manual,19.44,1198.0,67.0,7.0
Mahindra Scorpio 1.99 S6 Plus,11.25,2017.0,Dealer,30000,Diesel,Manual,15.4,1997.0,120.0,7.0
BMW 5 Series 530d M Sport,26.0,2016.0,Dealer,63000,Diesel,Automatic,18.59,2993.0,261.49,5.0
Chevrolet Beat LT,2.0,2017.0,Individual,43890,Petrol,Manual,17.8,1199.0,76.8,5.0
Datsun GO Plus Anniversary Edition,4.8,2018.0,Individual,10000,Petrol,Manual,20.62,1198.0,67.0,7.0
Maruti Swift Dzire AMT ZDI Plus,8.5,2017.0,Individual,25000,Diesel,Automatic,28.4,1248.0,74.02,5.0
Hyundai Creta 1.6 CRDi AT SX Plus,11.0,2017.0,Dealer,102000,Diesel,Automatic,17.01,1582.0,126.2,5.0
Maruti Swift VXI 2018,5.75,2018.0,Dealer,35000,Petrol,Manual,22.0,1197.0,81.8,5.0
Hyundai Santro LP,1.6,2007.0,Individual,54000,Petrol,Manual,0.0,999.0,5.0,5.0
Maruti Swift Dzire VXi,3.4,2012.0,Dealer,49948,Petrol,Manual,17.5,1298.0,85.8,5.0
Tata Indigo eLX BS IV,5.59,2018.0,Individual,114851,Diesel,Manual,25.0,1396.0,69.01,5.0
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,2018.0,Individual,55000,Diesel,Manual,23.0,1498.0,98.96,5.0
Hyundai Grand i10 Magna,4.0,2015.0,Dealer,36000,Petrol,Manual,18.9,1197.0,82.0,5.0
Hyundai Xcent 1.2 CRDi S,5.6,2019.0,Individual,35000,Diesel,Manual,25.4,1186.0,73.97,5.0
Honda City i VTEC VX Option,7.25,2016.0,Dealer,49625,Petrol,Manual,17.8,1497.0,117.3,5.0
Maruti Swift Dzire ZDI,6.0,2014.0,Individual,35000,Diesel,Manual,23.4,1248.0,74.0,5.0
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,2013.0,Individual,95000,Diesel,Manual,12.05,2179.0,120.0,8.0
Ford Aspire 1.5 TDCi Titanium,5.85,2017.0,Dealer,36000,Diesel,Manual,25.83,1498.0,99.0,5.0
Maruti Wagon R VXI,4.11,2019.0,Individual,50000,Petrol,Manual,21.79,998.0,67.05,5.0
Maruti Swift Dzire VXI,4.5,2015.0,Individual,26500,Petrol,Manual,20.85,1197.0,83.14,5.0
Honda CR-V 2.0L 2WD AT,12.9,2015.0,Dealer,80000,Petrol,Automatic,13.7,1997.0,153.86,5.0
Volkswagen Polo 1.2 MPI Highline,4.55,2015.0,Dealer,46000,Petrol,Manual,16.47,1198.0,74.0,5.0
Hyundai Grand i10 Nios Asta,7.1,2019.0,Individual,9000,Petrol,Manual,20.7,1197.0,81.86,5.0
Mahindra TUV 300 T4,4.5,2016.0,Individual,70000,Diesel,Manual,18.49,1493.0,100.0,7.0
Toyota Etios Liva 1.2 VX,4.65,2015.0,Dealer,33000,Petrol,Manual,17.71,1197.0,78.9,5.0
Honda City V MT,7.7,2016.0,Dealer,53000,Petrol,Manual,16.8,1497.0,116.3,5.0
Tata Indigo LS (TDI) BS-III,3.2,2015.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
Tata Indigo LX (TDI) BS-III,3.25,2015.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
Ford Endeavour 3.2 Titanium AT 4X4,29.0,2018.0,Individual,11387,Diesel,Automatic,10.91,3198.0,197.0,7.0
Honda Amaze VX i-DTEC,7.2,2018.0,Individual,50000,Diesel,Manual,25.8,1498.0,98.6,5.0
Mahindra KUV 100 mFALCON D75 K6 5str,3.75,2016.0,Dealer,52000,Diesel,Manual,25.32,1198.0,77.0,5.0
Chevrolet Aveo 1.4 LT ABS BSIV,1.45,2010.0,Individual,60000,Petrol,Manual,14.49,1399.0,92.7,5.0
Datsun GO Plus T BSIV,4.0,2015.0,Individual,35000,Petrol,Manual,19.44,1198.0,67.0,7.0
Renault Duster 85PS Diesel RxL Plus,6.0,2015.0,Individual,48000,Diesel,Manual,19.87,1461.0,83.8,5.0
Honda Jazz 1.2 V i VTEC,6.0,2018.0,Individual,18000,Petrol,Manual,18.7,1199.0,88.7,5.0
Maruti Wagon R LXI DUO,2.7,2012.0,Individual,57413,LPG,Manual,14.4,998.0,61.7,5.0
Hyundai i20 Magna 1.2,5.0,2015.0,Individual,30000,Petrol,Manual,18.6,1197.0,81.83,5.0
Hyundai Verna 1.6 CRDi SX,6.5,2015.0,Dealer,55000,Diesel,Manual,23.9,1582.0,126.2,5.0
Chevrolet Sail 1.2 LS ABS,3.8,2015.0,Individual,120000,Petrol,Manual,18.2,1199.0,82.4,5.0
Mitsubishi Pajero Sport 4X4,7.28,2012.0,Individual,165000,Diesel,Manual,13.5,2477.0,175.56,7.0
Maruti Swift AMT ZXI,6.6,2018.0,Individual,10000,Petrol,Automatic,21.21,1197.0,81.8,5.0
Tata Indica Vista Aura 1.3 Quadrajet,1.8,2010.0,Individual,120000,Diesel,Manual,18.0,1248.0,75.0,5.0
BMW 3 Series 320d Luxury Line,20.9,2016.0,Dealer,68000,Diesel,Automatic,22.69,1995.0,190.0,5.0
Chevrolet Beat Diesel LS,2.5,2015.0,Dealer,55000,Diesel,Manual,25.44,936.0,56.3,5.0
Kia Seltos HTK Plus G,12.75,2020.0,Dealer,8000,Petrol,Manual,16.8,1497.0,113.4,5.0
Toyota Corolla Altis G,4.55,2012.0,Dealer,80000,Petrol,Manual,14.53,1798.0,138.1,5.0
Maruti Swift VDI,4.95,2015.0,Dealer,65000,Diesel,Manual,28.4,1248.0,74.0,5.0
Maruti Ritz VXI,2.2,2010.0,Individual,47000,Petrol,Manual,21.1,1197.0,85.8,5.0
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8.0,2018.0,Individual,185000,Diesel,Manual,25.1,1248.0,88.5,5.0
Hyundai Santa Fe 2WD AT,12.95,2014.0,Dealer,68000,Diesel,Automatic,13.01,2199.0,194.3,7.0
Hyundai Grand i10 Sportz,4.75,2016.0,Individual,25000,Petrol,Manual,18.9,1197.0,82.0,5.0
Tata Sumo Gold EX,3.8,2014.0,Individual,280000,Diesel,Manual,15.3,2956.0,83.83,7.0
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9.0,2018.0,Individual,7791,Diesel,Manual,25.1,1248.0,88.5,5.0
Maruti Ciaz VXi Plus,5.3,2015.0,Individual,70000,Petrol,Manual,20.73,1373.0,91.1,5.0
Tata Tiago 1.2 Revotron XZ,5.3,2016.0,Individual,9500,Petrol,Manual,23.84,1199.0,84.0,5.0
Hyundai Verna 1.6 VTVT S,6.5,2015.0,Individual,9100,Petrol,Manual,17.01,1591.0,121.3,5.0
Honda New Accord 2008-2011 2.4 MT,4.95,2010.0,Dealer,82000,Petrol,Manual,12.8,2354.0,177.6,5.0
Honda City 1.5 S MT,3.35,2010.0,Dealer,86000,Petrol,Manual,17.0,1497.0,118.0,5.0
Audi Q5 40 TDI Technology,46.75,2020.0,Dealer,19000,Diesel,Automatic,17.01,1968.0,188.0,5.0
Audi A4 2.0 TDI,12.9,2013.0,Dealer,78000,Diesel,Automatic,16.55,1968.0,147.51,5.0
Ford Figo Diesel Titanium,3.0,2011.0,Individual,60000,Diesel,Manual,20.0,1399.0,68.0,5.0
Maruti Wagon R ZXI AMT 1.2BSIV,5.5,2019.0,Trustmark Dealer,7883,Petrol,Automatic,21.5,1197.0,81.8,5.0
Maruti Swift Dzire LDI,3.9,2013.0,Trustmark Dealer,50205,Diesel,Manual,23.4,1248.0,74.0,5.0
Mahindra Bolero DI AC BSIII,2.6,2008.0,Individual,220000,Diesel,Manual,13.6,2523.0,63.0,7.0
Tata Tigor 1.05 Revotorq XT,3.95,2017.0,Dealer,58000,Diesel,Manual,24.7,1047.0,69.0,5.0
Mahindra Scorpio SLE BSIII,5.5,2012.0,Individual,170000,Diesel,Manual,12.05,2179.0,120.0,8.0
Maruti Swift Dzire VXI 1.2 BS IV,6.5,2018.0,Individual,15000,Petrol,Manual,22.0,1197.0,81.8,5.0
Maruti Swift DDiS LDI,3.75,2016.0,Dealer,71245,Diesel,Manual,28.4,1248.0,74.0,5.0
Tata Manza ELAN Quadrajet BS IV,3.0,2012.0,Individual,20000,Diesel,Manual,21.12,1248.0,88.8,5.0
Toyota Etios VX,4.5,2016.0,Dealer,52000,Petrol,Manual,16.78,1496.0,88.73,5.0
Honda Brio S MT,3.35,2015.0,Individual,61000,Petrol,Manual,19.4,1198.0,86.8,5.0
Kia Seltos GTK,13.0,2019.0,Individual,7000,Petrol,Manual,16.1,1353.0,138.0,5.0
Maruti Alto K10 VXI,3.6,2018.0,Individual,20000,Petrol,Manual,23.95,998.0,67.05,5.0
Maruti Celerio ZXI,5.05,2020.0,Individual,8700,Petrol,Manual,21.63,998.0,67.04,5.0
Maruti Alto 800 LXI,3.1,2019.0,Individual,25000,Petrol,Manual,24.7,796.0,47.3,5.0
Hyundai i20 Asta Option BSIV,5.45,2015.0,Dealer,42000,Petrol,Manual,18.6,1197.0,81.86,5.0
Mahindra Xylo E4,3.0,2009.0,Individual,120000,Diesel,Manual,14.0,2498.0,112.0,7.0
Chevrolet Aveo 1.4 LS Limited Edition,2.0,2009.0,Individual,60000,Petrol,Manual,14.4,1399.0,94.0,5.0
Mahindra Bolero DI,1.5,2006.0,Individual,120000,Diesel,Manual,13.6,2523.0,63.0,7.0
Maruti Baleno Delta 1.2,5.8,2018.0,Individual,50000,Petrol,Manual,21.4,1197.0,83.1,5.0
Maruti Wagon R VXI BS IV,2.5,2011.0,Individual,58000,Petrol,Manual,18.9,998.0,67.1,5.0
Hyundai Verna 1.4 VTVT,6.5,2017.0,Individual,36000,Petrol,Manual,17.43,1396.0,105.5,5.0
Maruti SX4 S Cross DDiS 200 Zeta,8.0,2016.0,Individual,80000,Diesel,Manual,23.65,1248.0,88.5,5.0
Audi Q3 2.0 TDI Quattro Premium Plus,14.75,2013.0,Dealer,71000,Diesel,Automatic,15.73,1968.0,174.33,5.0
Maruti Ertiga VDI,4.1,2018.0,Individual,30000,Diesel,Manual,25.47,1248.0,88.5,7.0
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.31,2015.0,Dealer,162828,Diesel,Manual,22.77,1498.0,98.59,5.0
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,8.9,2018.0,Individual,7500,Diesel,Manual,23.0,1498.0,98.96,5.0
Tata Safari Storme EX,7.75,2016.0,Dealer,47227,Diesel,Manual,14.0,2179.0,138.1,7.0
Maruti Wagon R CNG LXI BSIV,4.35,2018.0,Dealer,52000,CNG,Manual,33.54,998.0,67.04,5.0
Ford Figo Diesel ZXI,1.85,2012.0,Dealer,74000,Diesel,Manual,20.0,1399.0,68.05,5.0
Mahindra Bolero 2011-2019 SLX,4.4,2011.0,Dealer,47000,Diesel,Manual,15.96,2523.0,62.1,7.0
Hyundai i20 Sportz 1.2,4.5,2015.0,Individual,50000,Petrol,Manual,18.6,1197.0,81.83,5.0
